Fund,Sector,Monthly_Return
FundA,Tech,0.0125
FundA,Tech,0.0093
FundA,Tech,0.0132
FundA,Tech,0.0176
FundA,Tech,0.0088
FundA,Tech,0.0088
FundA,Tech,0.0179
FundA,Tech,0.0138
FundA,Tech,0.0077
FundA,Tech,0.0127
FundA,Tech,0.0077
FundA,Tech,0.0077
FundA,Tech,0.0112
FundA,Tech,0.0004
FundA,Tech,0.0014
FundA,Tech,0.0072
FundA,Tech,0.0049
FundA,Tech,0.0116
FundA,Tech,0.0055
FundA,Tech,0.0029
FundA,Tech,0.0173
FundA,Tech,0.0089
FundA,Tech,0.0103
FundA,Tech,0.0029
FundA,Tech,0.0073
FundA,Tech,0.0106
FundA,Tech,0.0042
FundA,Tech,0.0119
FundA,Tech,0.007
FundA,Tech,0.0085
FundA,Tech,0.007
FundA,Tech,0.0193
FundA,Tech,0.0099
FundA,Tech,0.0047
FundA,Tech,0.0141
FundA,Tech,0.0039
FundA,Tech,0.011
FundA,Tech,0.0002
FundA,Tech,0.0034
FundA,Tech,0.011
FundA,Tech,0.0137
FundA,Tech,0.0109
FundA,Tech,0.0094
FundA,Tech,0.0085
FundA,Tech,0.0026
FundA,Tech,0.0064
FundA,Tech,0.0077
FundA,Tech,0.0153
FundA,Tech,0.0117
FundA,Tech,0.0012
FundA,Tech,0.0116
FundA,Tech,0.0081
FundA,Tech,0.0066
FundA,Tech,0.0131
FundA,Tech,0.0152
FundA,Tech,0.0147
FundA,Tech,0.0058
FundA,Tech,0.0085
FundA,Tech,0.0117
FundA,Tech,0.0149
FundA,Tech,0.0076
FundA,Tech,0.0091
FundA,Tech,0.0045
FundA,Tech,0.004
FundA,Tech,0.0141
FundA,Tech,0.0168
FundA,Tech,0.0096
FundA,Tech,0.015
FundA,Tech,0.0118
FundA,Tech,0.0068
FundA,Tech,0.0118
FundA,Tech,0.0177
FundA,Tech,0.0098
FundA,Tech,0.0178
FundA,Tech,-0.0031
FundA,Tech,0.0141
FundA,Tech,0.0104
FundA,Tech,0.0085
FundA,Tech,0.0105
FundA,Tech,0.0001
FundA,Tech,0.0089
FundA,Tech,0.0118
FundA,Tech,0.0174
FundA,Tech,0.0074
FundA,Tech,0.006
FundA,Tech,0.0075
FundA,Tech,0.0146
FundA,Tech,0.0116
FundA,Tech,0.0074
FundA,Tech,0.0126
FundA,Tech,0.0105
FundA,Tech,0.0148
FundA,Tech,0.0065
FundA,Tech,0.0084
FundA,Tech,0.008
FundA,Tech,0.0027
FundA,Tech,0.0115
FundA,Tech,0.0113
FundA,Tech,0.01
FundA,Tech,0.0088
FundA,Tech,0.0029
FundA,Tech,0.0079
FundA,Tech,0.0083
FundA,Tech,0.006
FundA,Tech,0.0092
FundA,Tech,0.012
FundA,Tech,0.0194
FundA,Tech,0.0109
FundA,Tech,0.0113
FundA,Tech,0.0096
FundA,Tech,0.0004
FundA,Tech,0.0099
FundA,Tech,0.0103
FundA,Tech,0.0223
FundA,Tech,0.009
FundA,Tech,0.0115
FundA,Tech,0.0098
FundA,Tech,0.0042
FundA,Tech,0.0157
FundA,Tech,0.0138
FundA,Tech,0.014
FundA,Tech,0.0055
FundA,Tech,0.017
FundA,Tech,0.003
FundA,Tech,0.0129
FundA,Tech,0.021
FundA,Tech,0.005
FundA,Tech,0.0072
FundA,Tech,0.0105
FundA,Tech,0.0075
FundA,Tech,0.0022
FundA,Tech,0.0103
FundA,Tech,0.0047
FundA,Tech,0.0124
FundA,Tech,0.0054
FundA,Tech,0.0177
FundA,Tech,0.0061
FundA,Tech,0.0084
FundA,Tech,0.0141
FundA,Tech,0.0038
FundA,Tech,0.0111
FundA,Tech,0.0165
FundA,Tech,0.002
FundA,Tech,0.0109
FundA,Tech,0.0113
FundA,Tech,0.0139
FundA,Tech,0.0038
FundA,Tech,0.0034
FundA,Tech,0.0126
FundA,Tech,0.0115
FundA,Tech,0.0113
FundA,Tech,0.0117
FundA,Tech,0.0066
FundA,Tech,0.0112
FundA,Tech,0.0115
FundA,Tech,0.0064
FundA,Tech,0.0193
FundA,Tech,0.0124
FundA,Tech,0.004
FundA,Tech,0.0133
FundA,Tech,0.0051
FundA,Tech,0.0139
FundA,Tech,0.0158
FundA,Tech,0.0059
FundA,Tech,0.0148
FundA,Tech,0.0121
FundA,Tech,0.0141
FundA,Tech,0.0195
FundA,Tech,0.0088
FundA,Tech,0.0062
FundA,Tech,0.0056
FundA,Tech,0.0059
FundA,Tech,0.0096
FundA,Tech,0.0117
FundA,Tech,0.0114
FundA,Tech,0.0141
FundA,Tech,0.0101
FundA,Tech,0.0173
FundA,Tech,0.0087
FundA,Tech,0.0236
FundA,Tech,0.0131
FundA,Tech,0.0057
FundA,Tech,0.0046
FundA,Tech,0.0124
FundA,Tech,0.0089
FundA,Tech,0.0136
FundA,Tech,0.0124
FundA,Tech,0.0096
FundA,Tech,0.0058
FundA,Tech,0.0024
FundA,Tech,0.0078
FundA,Tech,0.0143
FundA,Tech,0.0111
FundA,Tech,0.0038
FundA,Tech,0.0109
FundA,Tech,0.0119
FundA,Tech,0.0056
FundA,Tech,0.0108
FundA,Tech,0.0103
FundA,Tech,0.0043
FundD,Tech,0.0118
FundD,Tech,0.0128
FundD,Tech,0.0154
FundD,Tech,0.0153
FundD,Tech,0.0031
FundD,Tech,0.0053
FundD,Tech,0.0126
FundD,Tech,0.0126
FundD,Tech,0.0126
FundD,Tech,0.0293
FundD,Tech,0.0129
FundD,Tech,0.0157
FundD,Tech,0.0148
FundD,Tech,0.0133
FundD,Tech,0.0084
FundD,Tech,0.0138
FundD,Tech,0.0061
FundD,Tech,0.0088
FundD,Tech,0.0076
FundD,Tech,0.0104
FundD,Tech,0.0216
FundD,Tech,0.0007
FundD,Tech,0.0134
FundD,Tech,0.0019
FundD,Tech,0.0076
FundD,Tech,0.0154
FundD,Tech,0.0103
FundD,Tech,0.0046
FundD,Tech,0.0064
FundD,Tech,0.0134
FundD,Tech,0.0063
FundD,Tech,0.0111
FundD,Tech,0.0102
FundD,Tech,0.0067
FundD,Tech,0.0207
FundD,Tech,0.0132
FundD,Tech,-0.0001
FundD,Tech,0.0109
FundD,Tech,0.0067
FundD,Tech,0.0143
FundD,Tech,0.006
FundD,Tech,0.0094
FundD,Tech,0.0125
FundD,Tech,0.0143
FundD,Tech,0.004
FundD,Tech,0.0083
FundD,Tech,0.0076
FundD,Tech,0.0067
FundD,Tech,0.0188
FundD,Tech,0.012
FundD,Tech,0.0037
FundD,Tech,0.0146
FundD,Tech,0.0206
FundD,Tech,0.0152
FundD,Tech,0.0024
FundD,Tech,0.0076
FundD,Tech,0.0163
FundD,Tech,0.0065
FundD,Tech,0.0122
FundD,Tech,0.0139
FundD,Tech,0.0054
FundD,Tech,0.0097
FundD,Tech,-0.0062
FundD,Tech,0.0049
FundD,Tech,0.0087
FundD,Tech,0.0038
FundD,Tech,0.0182
FundD,Tech,0.0028
FundD,Tech,0.0078
FundD,Tech,0.0107
FundD,Tech,0.0172
FundD,Tech,0.0028
FundD,Tech,0.0158
FundD,Tech,0.0101
FundD,Tech,0.0051
FundD,Tech,0.0123
FundD,Tech,0.011
FundD,Tech,0.007
FundD,Tech,0.0103
FundD,Tech,0.0081
FundD,Tech,0.0106
FundD,Tech,0.0133
FundD,Tech,0.0179
FundD,Tech,0.0038
FundD,Tech,0.0207
FundD,Tech,0.0002
FundD,Tech,0.0092
FundD,Tech,0.0129
FundD,Tech,0.0114
FundD,Tech,0.0069
FundD,Tech,0.009
FundD,Tech,0.0075
FundD,Tech,0.0071
FundD,Tech,0.0142
FundD,Tech,0.0118
FundD,Tech,0.0065
FundD,Tech,0.0145
FundD,Tech,0.0115
FundD,Tech,0.0141
FundD,Tech,0.0131
FundD,Tech,0.0059
FundD,Tech,0.0072
FundD,Tech,0.0137
FundD,Tech,0.0131
FundD,Tech,0.0099
FundD,Tech,0.0106
FundD,Tech,0.0164
FundD,Tech,0.007
FundD,Tech,0.0127
FundD,Tech,0.009
FundD,Tech,0.0089
FundD,Tech,0.0155
FundD,Tech,0.0141
FundD,Tech,0.0141
FundD,Tech,0.0165
